FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
427;SEKAHEDELMÄ, KUIVATTU;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
428;RUSINA;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
431;OLIIVI, KESKIARVO, PUNNITTU KIVINEEN, ÖLJYSSÄ, VIHREÄ/MUSTA;FOOD;CANN;80;FRUITOTH;FRUITTOT;VEGCANN;VEGDITOT
432;HEDELMÄSALAATTISÄILYKE, SOKERILIEMESSÄ;FOOD;CANN;100;FRUITCAN;FRUITTOT;FRUBSAL;FRUDITOT
433;TÄYSMEHU, OMENATÄYSMEHU;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
434;TÄYSMEHU, APPELSIINITÄYSMEHU;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
435;TÄYSMEHU, GREIPPITÄYSMEHU;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
436;TÄYSMEHU, KESKIARVO;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
437;TÄYSMEHU, SITRUUNATÄYSMEHU, LAIMENNETTU;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
438;TÄYSMEHU, ANANASTÄYSMEHU;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
440;PUOLUKKA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
441;KARPALO;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
442;MUSTIKKA, METSÄMUSTIKKA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
444;MUSTAHERUKKA;FOOD;RAW;95;BERRY;FRUITTOT;BERFRESH;FRUDITOT
445;PUNAHERUKKA;FOOD;RAW;95;BERRY;FRUITTOT;BERFRESH;FRUDITOT
446;KARVIAINEN;FOOD;RAW;98;BERRY;FRUITTOT;BERFRESH;FRUDITOT
447;MANSIKKA;FOOD;RAW;95;BERRY;FRUITTOT;BERFRESH;FRUDITOT
448;VADELMA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
449;SUOMUURAIN, LAKKA, HILLA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
450;MARJAHILLO, KESKIARVO;FOOD;CANN;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
451;MEHU, HÖYRYMEHU, LAIMENTAMATON, SOKEROITU;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
452;MEHU, HÖYRYMEHU, MUSTAHERUKKA, LAIMENTAMATON, SOKEROITU;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
453;MEHU, HÖYRYMEHU LAIMENTAMATON, SOKERITON;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
454;MARJA, KESKIARVO;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
455;TYRNIMARJA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
456;MARMELADI, MARJOISTA;FOOD;CANN;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
457;PIHLAJANMARJA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
458;MEHU, MUSTAHERUKKA-PUOLUKKAMEHUJUOMA;FOOD;MASH;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
459;MEHU, MEHUJUOMA, PUOLUKKA, LAIMENTAMATON;FOOD;MASH;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
461;MEHU, HÖYRYMEHU LAIMENNETTU, SOKEROITU;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
462;MEHU, HÖYRYMEHU, MUSTAHERUKKA, LAIMENNETTU, SOKEROITU;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
463;MEHU, HÖYRYMEHU LAIMENNETTU, SOKERITON;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
469;TÄYSMEHU, VIIDEN HEDELMÄN MEHU;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
471;ANANAS, OMASSA LIEMESSÄÄN;FOOD;CANN;100;FRUITCAN;FRUITTOT;FRUBSAL;FRUDITOT
472;OMENASOSE, MAKEUTTAMATON;FOOD;MASH;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
473;MEHU, NEKTARI, HEDELMÄJUOMA, HEDELMÄPITOISUUS 50 %;FOOD;MASH;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
474;TÄYSMEHU, MARJATÄYSMEHU, MAKEUTTAMATON;FOOD;MASH;100;JUICE;FRUITTOT;FRUBJUIC;FRUDITOT
476;HILLO, FRUKTOOSILLA MAKEUTETTU;FOOD;CANN;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
477;MELONI, VERKKOMELONI/CANTALOUPEMELONI, KUORITTU;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
478;MARJAJUOMA, NEKTARI, MARJAPITOISUUS 50 %;FOOD;BOIL;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
500;VOI;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
501;RASVASEOS 80%;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
528;SYVÄPAISTORASVA 100%, UPPOPAISTORASVA;FOOD;IND;100;FATHARD;FATTOT;FATPROD;FATTOT
529;TEOLLISUUSMARGARIINI 80%, KAULINTA;FOOD;IND;100;FATHARD;FATTOT;FATPROD;FATTOT
530;LEIPOMOTEOLLISUUSMARGARIINI 80%, LEIVONTA;FOOD;IND;100;FATHARD;FATTOT;FATPROD;FATTOT
531;RUOKAÖLJY TEOLLISUUSKÄYTTÖÖN, 70% RYPSIÖLJYÄ, 30% PALMUÖLJYÄ;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
535;RYPSIÖLJY;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
536;OLIIVIÖLJY;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
540;AURINGONKUKKAÖLJY;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
541;RUOKAÖLJY KESKIARVO, 80% RYPSIÖLJYÄ, 14% AURINGONKUKKAÖLJYÄ;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
542;SOIJAÖLJY;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
543;MAISSIÖLJY;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
550;PAISTINRASVA, LAARDI;FOOD;RAW;100;FATANIM;FATTOT;FATPROD;FATTOT
552;KOOKOSRASVA 100 %;FOOD;IND;100;FATHARD;FATTOT;FATPROD;FATTOT
553;TALI, RAAKA NAUDANRASVA;FOOD;RAW;100;FATANIM;FATTOT;FATPROD;FATTOT
562;MAJONEESI, HAMPURILAISKASTIKE, RASVAA 60 %;FOOD;IND;100;FATOTH;FATTOT;DRESSING;FATTOT
563;SALAATINKASTIKE, RANSKALAINEN;FOOD;IND;100;FATOTH;FATTOT;DRESSING;FATTOT
